Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13873,Song of the Deep,XOne,Action,Insomniac Games,0.03,0,0,0,0.04
13883,Rugby Challenge 3,PS4,Sports,Alternative Software,0,0.03,0,0.01,0.04
13887,Hatsune Miku: Project Diva X,PS4,Misc,Sega,0.01,0,0.02,0,0.04
13888,Bullet Girls 2,PSV,Action,D3Publisher,0,0,0.04,0,0.04
13952,Resident Evil 6,XOne,Shooter,Capcom,0.03,0,0,0,0.04
13983,Doraemon: Shin Nobita no Nihon Tanjou,3DS,Misc,FuRyu,0,0,0.04,0,0.04
13996,Destiny: The Collection,XOne,Shooter,Activision,0.01,0.02,0,0,0.04
14007,12-Sai. Koisuru Diary,3DS,Adventure,Happinet,0,0,0.04,0,0.04
14075,Aegis of Earth: Protonovus Assault,PSV,Action,PQube,0.02,0.01,0,0.01,0.04
14094,Batman: A Telltale Game Series,PS4,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
14140,Resident Evil 4 HD,PS4,Shooter,Capcom,0.03,0,0,0.01,0.03
14180,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,Misc,Tecmo Koei,0,0,0.03,0,0.03
14188,Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,Action,Activision,0.02,0.01,0,0,0.03
14204,Dead or Alive Xtreme 3: Venus,PSV,Sports,Tecmo Koei,0,0,0.03,0,0.03
14236,NASCAR Heat Evolution,PS4,Racing,Dusenberry Martin Racing,0.03,0,0,0.01,0.03
14304,Metroid Prime: Federation Force,3DS,Action,Nintendo,0.02,0.01,0.01,0,0.03
14309,Sonic Boom: Fire & Ice,3DS,Platform,Sega,0.03,0,0,0,0.03
14316,Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
14386,Hearts of Iron IV,PC,Strategy,Paradox Interactive,0,0.03,0,0,0.03
14430,Summon Night 6: Lost Borders,PS4,Action,Namco Bandai Games,0,0,0.03,0,0.03
14466,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03
14485,Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,Action,Activision,0.01,0.02,0,0,0.03
14533,Need for Speed (2015),PC,Racing,Electronic Arts,0,0.03,0,0,0.03
14558,Pro Cycling Manager 2016,PC,Sports,Focus Home Interactive,0,0.03,0,0,0.03
14612,Attack on Titan (KOEI),XOne,Action,Tecmo Koei,0.01,0.01,0,0,0.03
14613,Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,Role-Playing,Rocket Company,0,0,0.03,0,0.03
14617,My Hero Academia: Battle for All,3DS,Action,Namco Bandai Games,0,0,0.03,0,0.03
14638,Stellaris,PC,Strategy,Paradox Interactive,0,0.03,0,0,0.03
14643,Ao no Kanata no Four Rhythm,PSV,Adventure,Unknown,0,0,0.03,0,0.03
14683,Ghostbusters (2016),PS4,Action,Activision,0.02,0,0,0.01,0.03
14695,Darius Burst: Chronicle Saviours,PSV,Action,Kadokawa Games,0,0,0.03,0,0.03
14721,Aegis of Earth: Protonovus Assault,PS3,Action,PQube,0.01,0.01,0,0,0.03
14741,Pro Evolution Soccer 2017,XOne,Sports,Konami Digital Entertainment,0,0.02,0,0,0.03
14758,DiRT Rally,PC,Racing,Codemasters,0,0.03,0,0,0.03
14779,3DS Classic Collection,3DS,Misc,Sega,0.02,0,0,0,0.03
14814,Sengoku Basara: Sanada Yukimura-Den,PS4,Action,Capcom,0,0,0.03,0,0.03
14850,Terraria,WiiU,Action,505 Games,0,0.02,0,0,0.03
14870,Diabolik Lovers: Lunatic Parade,PSV,Adventure,Idea Factory,0,0,0.03,0,0.03
14899,Psycho-Pass: Mandatory Happiness,PS4,Adventure,Nippon Ichi Software,0.02,0,0,0,0.03
14912,Yuusha Shisu.,PSV,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02
14916,Ghostbusters (2016),XOne,Action,Activision,0.02,0,0,0,0.02
14958,Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,Action,Namco Bandai Games,0,0.02,0,0,0.02
14969,Bus Simulator 16,PC,Simulation,Astragon,0,0.02,0,0,0.02
14971,Teddy Together,3DS,Simulation,Nintendo,0,0.02,0,0,0.02
14986,Rugby Challenge 3,X360,Sports,Alternative Software,0,0.02,0,0,0.02
15009,Kenka Bancho Otome,PSV,Action,Screenlife,0,0,0.02,0,0.02
15019,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15039,Tokyo Xanadu eX+,PS4,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0,0.02
15055,NASCAR Heat Evolution,XOne,Racing,Dusenberry Martin Racing,0.02,0,0,0,0.02
15073,La Corda d'Oro 4,PSV,Action,Tecmo Koei,0,0,0.02,0,0.02
15085,Prison Architect,PS4,Action,Introversion Software,0.01,0.01,0,0,0.02
15099,Genkai Tokki: Seven Pirates,PSV,Role-Playing,Compile Heart,0,0,0.02,0,0.02
15153,Rocket League,PC,Sports,505 Games,0.01,0.01,0,0,0.02
15169,Aegis of Earth: Protonovus Assault,PS4,Action,PQube,0.02,0,0,0,0.02
15187,Sengoku Otome: Legend Battle,PSV,Action,Unknown,0,0,0.02,0,0.02
15206,Valentino Rossi: The Game,XOne,Racing,Namco Bandai Games,0,0.02,0,0,0.02
15284,Hyakka Hyakurou: Sengoku Ninpoujou,PSV,Adventure,D3Publisher,0,0,0.02,0,0.02
15295,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,Adventure,5pb,0,0,0.02,0,0.02
15303,F1 2016 (Codemasters),PC,Racing,Codemasters,0,0.02,0,0,0.02
15341,Dead Rising,PS4,Action,Capcom,0.01,0,0,0,0.02
15342,Homefront: The Revolution,PC,Shooter,Deep Silver,0,0.02,0,0,0.02
15344,The Technomancer,XOne,Role-Playing,Focus Home Interactive,0.01,0.01,0,0,0.02
15372,The Legend of Heroes: Trails in the Sky Third Chapter,PSV,Role-Playing,Nihon Falcom Corporation,0,0,0.02,0,0.02
15397,Anima - Gate of Memories,PS4,Action,Avanquest,0,0.02,0,0,0.02
15403,Psycho-Pass: Mandatory Happiness,PSV,Adventure,Nippon Ichi Software,0,0.01,0.01,0,0.02
15406,Resident Evil: Umbrella Corps,PS4,Action,Capcom,0,0,0.02,0,0.02
15412,Deus Ex: Mankind Divided,PC,Role-Playing,Square Enix,0,0.02,0,0,0.02
15418,RollerCoaster Tycoon World,PC,Simulation,Atari,0,0.02,0,0,0.02
15440,Resident Evil Zero,PC,Action,Capcom,0.01,0.01,0,0,0.02
